,tmp,name
,,count
0,1.0,103
1,1.05,15
2,1.1,28
3,1.2,290
4,1.2L,4
5,1.2P,16
6,1.3,64
7,1.4,130
8,1.5,259
9,1.5D,19
10,1.5P,3
11,1.6,247
12,1.8,18
13,1.99,23
14,100,45
15,110PS,36
16,1500,2
17,2.0,82
18,2.0L,10
19,2.2,7
20,2.4,9
21,2.4L,9
22,2.5,219
23,2.5L,8
24,2.6,16
25,2.8,14
26,200,2
27,2000,2
28,2006-2009,3
29,2009-2014,9
30,2011-2019,116
31,2015-2017,33
32,2015-2019,13
33,2016-2019,36
34,2017-2020,53
35,2019-2020,4
36,220d,3
37,2WD,2
38,3.0,20
39,3.0L,3
40,3.0d,1
41,3.2,5
42,300,56
43,300h,34
44,35,12
45,350,2
46,35TDI,6
47,40,1
48,45,1
49,4X4,2
50,4x2,15
51,4x4,10
52,5,26
53,7,13
54,8,10
55,800,144
56,85PS,40
57,A,6
58,AC,51
59,AE,4
60,AMT,77
61,AT,17
62,AX,2
63,Active,48
64,Adventure,3
65,Alpha,61
66,Altis,28
67,Ambiente,7
68,Ambition,3
69,Anniversary,2
70,Aqua,8
71,Aspire,34
72,Asta,68
73,Aura,33
74,B1-10,2
75,B2,2
76,B3,1
77,B4,5
78,BSIII,1
79,BSIV,8
80,Base,2
81,Basic,1
82,Brezza,84
83,C-Class,14
84,C2,1
85,C4,2
86,C6,3
87,C8,2
88,CJ,1
89,CL,2
90,CNG,18
91,CR4,14
92,CRDe,20
93,CRDi,47
94,CS,70
95,CX,7
96,Celebration,3
97,Class,10
98,Classic,25
99,Climber,7
100,Club,11
101,Corporate,3
102,Cross,5
103,Cruiser,1
104,Crysta,50
105,Cx,7
106,D,21
107,D2,19
108,D3,29
109,D4,45
110,DDiS,3
111,DI,22
112,DICOR,16
113,DLS,6
114,DLX,1
115,DX,10
116,Delta,32
117,Deluxe,1
118,Diesel,204
119,Discovery,4
120,Dzire,378
121,E,40
122,E250,6
123,E270,1
124,E350,1
125,E4,12
126,E6,1
127,E8,6
128,ELAN,3
129,EVO,1
130,EX,22
131,EXi,6
132,Elegance,3
133,Emotion,6
134,Era,88
135,Estilo,35
136,Etios,6
137,Exclusive,7
138,Executive,8
139,FS,2
140,Fashion,1
141,Fe,5
142,Fleet,2
143,Freelander,1
144,G,8
145,GD,23
146,GLD,1
147,GLE,11
148,GLS,25
149,GLX,7
150,GS,7
151,GT,9
152,GX,3
153,Gateway,1
154,Genus,1
155,Getaway,1
156,Glam,1
157,Gold,10
158,Gold-10/6,1
159,Grand,2
160,Green,3
161,Gvs,1
162,H2,2
163,H4,2
164,H9,2
165,HTE,1
166,HTX,3
167,Hard,2
168,Hatchback,13
169,Highline,2
170,Hurricane,1
171,Hybrid,1
172,IPL,1
173,Inscription,1
174,Intelli,5
175,K10,112
176,King,6
177,Konekt,1
178,L,5
179,LDI,8
180,LDi,13
181,LE,2
182,LK,2
183,LP,3
184,LPG,7
185,LS,23
186,LT,26
187,LTZ,17
188,LX,100
189,LXI,48
190,LXi,100
191,Ldi,10
192,Limited,1
193,Liva,34
194,Logan,6
195,Lx,5
196,Lxi,6
197,M,62
198,M2,5
199,M2DI,9
200,M6,3
201,M8,5
202,MKII,7
203,ML,5
204,MM,3
205,MPI,7
206,MULTIJET,1
207,Magna,144
208,Magnum,11
209,Monte,1
210,N8,4
211,NRG,3
212,Neo,20
213,PLUS,2
214,Petrol,29
215,Pik-Up,2
216,Pleasure,1
217,Plus,15
218,Power,28
219,Prestige,1
220,Pride,2
221,Punto,18
222,Pure,4
223,Quadrajet,29
224,R,282
225,RS,14
226,RXE,1
227,RXL,16
228,RXT,53
229,RXZ,7
230,Range,1
231,Revotron,25
232,Rexton,5
233,Rider,1
234,RxL,5
235,RxZ,4
236,S,77
237,S10,11
238,S11,3
239,S2,8
240,S3,2
241,S4,8
242,S5,1
243,S7,2
244,SD,2
245,SE,2
246,SHVS,37
247,SLE,13
248,SLX,27
249,SS,1
250,STD,4
251,SV,1
252,SX,18
253,Safari,40
254,Scout,1
255,Select,3
256,Series,42
257,Sharp,2
258,Sigma,8
259,Smart,1
260,Smiles,3
261,Sport,8
262,Sports,3
263,Sportz,109
264,Star,2
265,Std,34
266,Stepway,2
267,Stile,1
268,Storme,48
269,Style,1
270,T,26
271,T8,1
272,TCDi,12
273,TDI,4
274,Titanium,21
275,Transform,13
276,Trend,9
277,Twist,3
278,U-VA,7
279,Ultima,3
280,Uniq,1
281,V,71
282,V-Cross,2
283,V2,58
284,V4,1
285,V6,2
286,VD,2
287,VDI,197
288,VDi,56
289,VIVA,2
290,VLS,7
291,VLX,24
292,VS,1
293,VTVT,12
294,VTi-L,1
295,VVT,6
296,VX,88
297,VXD,2
298,VXI,111
299,VXi,16
300,Vdi,19
301,Vibe,3
302,Vista,83
303,Vxi,26
304,W10,27
305,W11,6
306,W4,11
307,W5,2
308,W6,29
309,W7,3
310,W8,54
311,W9,6
312,Wizz,1
313,World,2
314,X,7
315,XE,12
316,XL,30
317,XM,3
318,XT,14
319,XTA,7
320,XV,23
321,XXi,1
322,XZ,4
323,Xi,5
324,Xing,89
325,ZDI,39
326,ZDi,33
327,ZLX,1
328,ZX,3
329,ZXI,56
330,ZXi,8
331,Zeta,23
332,Zxi,6
333,eCS,20
334,i,74
335,i-DTEC,28
336,i-VTEC,36
337,i10,194
338,i20,32
339,sDrive,2
340,sDrive20d,7
341,sDrive20i,2
342,xDrive,1
343,xDrive20d,1
344,xDrive30d,2
